topLevelViolationActualCentral;relativeTLViolationCentral;runtimePerStepCentral;unsolvedCentralAllocations;Totalruntimecentral;timestamps;Toplevelcostscentral
2.9103830456733704E-11;2.8105681099912064E-16;7.090534368;0.0;;;80990.65657320616
1.4551915228366852E-11;1.3858294092190211E-16;56.856736928000004;0.0;;;83777.94848046397
1.4551915228366852E-10;1.3430498882467267E-15;27.76768736;0.0;;;90609.11381499152
0.0;0.0;59.919647936000004;0.0;;;87711.48738173867
1.4551915228366852E-11;1.3966271894815677E-16;25.946840736000002;0.0;;;82183.2823658722
2.9103830456733704E-11;2.937400637647146E-16;21.384523424;0.0;;;71870.29060472747
5.238689482212067E-10;5.23606837408293E-15;49.215070304;0.0;;;73758.9576354817
1.4551915228366852E-11;1.4180328185958769E-16;1801.84131944;0.0;;;78928.74816076987
0.0;0.0;49.816515568;0.0;;;83908.75819196846
0.0;0.0;1801.32490456;0.0;;;79659.40461816626
0.0;0.0;13.780150096000002;0.0;;;67960.75853668139
1.4551915228366852E-11;1.431991458157526E-16;45.921368096;0.0;;;76910.78072956839
0.0;0.0;17.708516656;0.0;;;80672.77238563077
1.4551915228366852E-11;1.4220705087239636E-16;13.919314816;0.0;;;78416.43494597159
0.0;0.0;16.62496552;0.0;;;65885.54256692203
1.4551915228366852E-11;1.4290732914283535E-16;22.512740880000003;0.0;;;77332.11437803067
1.4551915228366852E-11;1.389382935898743E-16;14.678386736;0.0;;;83230.96392248479
1.4551915228366852E-11;1.3806254995014057E-16;13.568773376000001;0.0;;;84584.05291282466
0.0;0.0;7.6688186080000005;0.0;;;83184.5139771575
2.9103830456733704E-11;2.755849480378213E-16;6.279148592;0.0;;;85005.07812500498
1.4551915228366852E-11;1.35788952440069E-16;7.961113504;0.0;;;88183.34631026741
1.4551915228366852E-11;1.386347906344821E-16;14.221631232;0.0;;;83697.96292438472
1.4551915228366852E-11;1.4066314049139522E-16;21.936068752;0.0;;;89515.15859632553
1.4551915228366852E-11;1.4160720624810322E-16;21.737132816000003;0.0;;;76681.6385160603
2.9103830456733704E-11;3.107812438128819E-16;43.285645648000006;0.0;;;59328.872405523696
1.4551915228366852E-11;1.5323940593526334E-16;1801.381365632;0.0;;;61423.349271430685
2.9103830456733704E-11;2.9701803938297336E-16;1801.9525033920002;0.0;;;67240.06075481974
0.0;0.0;58.839471008000004;0.0;;;64807.55598778316
1.4551915228366852E-11;1.5443338076374173E-16;17.619923392;0.0;;;60013.241318399945
4.3655745685100555E-11;4.872088068907433E-16;11.556071136;0.0;;;51825.68300411577
2.9103830456733704E-11;3.2165735780208424E-16;11.893362960000001;0.0;;;53302.480029834485
2.9103830456733704E-11;3.1360065714828655E-16;11.189396752;0.0;;;57410.35689847656
1.4551915228366852E-11;1.5314573444142033E-16;15.334930976;0.0;;;61545.20769027668
2.9103830456733704E-11;3.126437957436006E-16;5.966407568;0.0;;;57926.346762070505
0.0;0.0;8.05429752;0.0;;;48658.45944488263
4.3655745685100555E-11;4.750314552829383E-16;8.822908048;0.0;;;55810.50081491609
0.0;0.0;8.039498304;0.0;;;58803.36098340118
1.4551915228366852E-11;1.5724680000259523E-16;8.10227688;0.0;;;56976.173184680265
1.4551915228366852E-11;1.6772538268301882E-16;5.720235296;0.0;;;46956.5217908536
4.3655745685100555E-11;4.740634180933444E-16;6.078518000000001;0.0;;;56142.37976323878
2.9103830456733704E-11;3.072646810593364E-16;7.127309296000001;0.0;;;60951.433530942384
2.9103830456733704E-11;3.053279573316301E-16;15.857116800000002;0.0;;;62110.28704356915
5.820766091346741E-11;6.146632055815541E-16;16.135538672000003;0.0;;;60912.03327592907
2.9103830456733704E-11;3.0473067926922963E-16;15.808997040000001;0.0;;;62467.18621454138
1.4551915228366852E-11;1.5014992658177764E-16;15.87310976;0.0;;;65180.880934860565
8.731149137020111E-11;9.197804354903302E-16;17.884437776000002;0.0;;;61359.4283489593
0.0;0.0;1801.3739892960002;0.0;;;97112.47014465147
2.9103830456733704E-11;3.1401551067807086E-16;1801.9974624160002;0.0;;;91592.8540628925
